STATE,POPESTIMATE
New York,16782304
California,15717204
Pennsylvania,11319366
Illinois,10081158
Ohio,9706397
Texas,9579677
Michigan,7823194
New Jersey,6066782
Massachusetts,5148578
Florida,4951560
Indiana,4662498
North Carolina,4556155
Missouri,4319813
Virginia,3966949
Wisconsin,3951777
Georgia,3943116
Tennessee,3567089
Minnesota,3413864
Alabama,3266740
Louisiana,3257022
Maryland,3100689
Kentucky,3038156
Washington,2853214
Iowa,2757537
Connecticut,2535234
South Carolina,2382594
Oklahoma,2328284
Kansas,2178611
Mississippi,2178141
West Virginia,1860421
Arkansas,1786272
Oregon,1768687
Colorado,1753947
ebraska,1411330
Arizona,1302161
Maine,969265
New Mexico,951023
Utah,890627
Rhode Island,859488
District of Columbia,763956
South Dakota,680514
Montana,674767
Idaho,667191
Hawaii,632772
North Dakota,632446
New Hampshire,606921
Delaware,446292
Vermont,389881
Wyoming,330066
Nevada,285278
Alaska,226167